Column,Q_Statistic,SSW,SST
Population2016,-272647251.90269965,71779353903730.7,263268.20879191766
Population2016,-9212598126.950651,71782410452378.95,7791.766172302037
Population2016,-6458488977.077115,71782421323356.98,11114.429639350217
Population2017,-275739355.5212174,72593406484776.89,263268.20879191766
Population2017,-9317074136.875916,72596463092331.73,7791.766172302037
Population2017,-6531731508.716082,72596470287866.16,11114.429639350217
Population2018,-282200660.09492654,74294462566356.31,263268.20879191766
Population2018,-9535391967.188353,74297544577370.55,7791.766172302037
Population2018,-6684782690.985977,74297546884424.28,11114.429639350217
Age0-4(%),-0.16697706310884053,307227.9611059171,263268.20879191766
Age0-4(%),-7.428850520386888,65675.63235614098,7791.766172302037
Age0-4(%),-4.680038028549528,63130.38301714725,11114.429639350217
Age5-14(%),-1.2291211711098233,586856.737898225,263268.20879191766
Age5-14(%),-46.2712521516098,368326.5434372731,7791.766172302037
Age5-14(%),-31.191613021212895,357791.417901461,11114.429639350217
Age15-29(%),-2.2517428709346015,856080.5210828404,263268.20879191766
Age15-29(%),-85.02263606783103,670268.265765575,7791.766172302037
Age15-29(%),-57.88878745552378,654515.2847210688,11114.429639350217
Age>30(%),-10.1892604912759,2945776.567244379,263268.20879191766
Age>30(%),-364.2110594710703,2845639.178937273,7791.766172302037
Age>30(%),-252.44647070123207,2816912.96595048,11114.429639350217
AfrocolombianPopulation(%),-1.7235732889315933,717030.2612905325,263268.20879191766
AfrocolombianPopulation(%),-60.00752992314403,475356.40791085793,7791.766172302037
AfrocolombianPopulation(%),-41.817368398330565,475890.62840538257,11114.429639350217
IndianPopulation(%),-1.7286073946968656,718355.5812982249,263268.20879191766
IndianPopulation(%),-58.571915412177,464170.4353278391,7791.766172302037
IndianPopulation(%),-40.71615385013706,463651.25679165707,11114.429639350217
PeoplewithDisabilities(%),-0.4456795321983389,380601.4609289941,263268.20879191766
PeoplewithDisabilities(%),-17.699399184846335,145701.34601085796,7791.766172302037
PeoplewithDisabilities(%),-12.12135124023868,145836.3351328335,11114.429639350217
Peoplewhocannotreadorwrite(%),-0.33944487399458834,352633.25275207113,263268.20879191766
Peoplewhocannotreadorwrite(%),-12.804787128501445,107563.67336368814,7791.766172302037
Peoplewhocannotreadorwrite(%),-8.538124845245015,106010.81748381391,11114.429639350217
Secondary/HigherEducation(%),-7.73789433009903,2300409.788898225,263268.20879191766
Secondary/HigherEducation(%),-283.47846339549733,2216589.6678334996,7791.766172302037
Secondary/HigherEducation(%),-195.36796615168308,2182517.9432151867,11114.429639350217
Employedpopulation(%),-4.393462976255758,1419927.3369443787,263268.20879191766
Employedpopulation(%),-163.1334656303226,1278889.5852410467,7791.766172302037
Employedpopulation(%),-112.23648509886964,1258558.946238716,11114.429639350217
Unemployedpopulation(%),-0.059408267512846,278908.5169674557,263268.20879191766
Unemployedpopulation(%),-3.4534134371980763,34699.95617123532,7791.766172302037
Unemployedpopulation(%),-2.08004931502187,34232.99139753941,11114.429639350217
Peopledoinghousework(%),-1.986824639867987,786335.9729136095,263268.20879191766
Peopledoinghousework(%),-72.60341935326818,573500.6330825561,7791.766172302037
Peopledoinghousework(%),-49.75915758726648,564159.085556363,11114.429639350217
Retiredpeople(%),0.0298851920712504,255400.38780591715,263268.20879191766
Retiredpeople(%),-0.1485956674720923,8949.588867461729,7791.766172302037
Retiredpeople(%),-0.10043796238360914,12230.740305382546,11114.429639350217
Men(%),-10.283261102660678,2970523.939828994,263268.20879191766
Men(%),-364.8923126898559,2850947.3447221788,7791.766172302037
Men(%),-252.58539662421526,2818457.0483465586,11114.429639350217
Women(%),-9.549812245280048,2777430.1729059173,263268.20879191766
Women(%),-341.429382512324,2668129.679061801,7791.766172302037
Women(%),-236.12916403733288,2635555.409130872,11114.429639350217
Householdswithoutwateraccess(%),-4.052638042873861,1330198.9672213017,263268.20879191766
Householdswithoutwateraccess(%),-139.36175634684102,1093665.9849882165,7791.766172302037
Householdswithoutwateraccess(%),-96.43105775323292,1082890.6360857747,11114.429639350217
Householdswithoutinternetaccess(%),-19.251834581644506,5331664.215059764,263268.20879191766
Householdswithoutinternetaccess(%),-664.9238785183514,5188723.149967462,7791.766172302037
Householdswithoutinternetaccess(%),-461.9554672846493,5145485.967287736,11114.429639350217
Buildingstratification1(%),-8.7675920974868,2571496.4757154398,263268.20879191766
Buildingstratification1(%),-303.86510391817126,2375437.603824952,7791.766172302037
Buildingstratification1(%),-209.84362760330663,2343406.6639023107,11114.429639350217
Buildingstratification2(%),-3.2564388909441577,1120585.042651125,263268.20879191766
Buildingstratification2(%),-120.18985609349623,944283.0211354559,7791.766172302037
Buildingstratification2(%),-83.13607252560521,935124.4582171061,11114.429639350217
Buildingstratification3(%),-0.04477504679144784,275056.0551592764,263268.20879191766
Buildingstratification3(%),-8.498011868922212,74006.28758439135,7791.766172302037
Buildingstratification3(%),-5.620779293407729,73586.18561424705,11114.429639350217
Buildingstratification4(%),0.052981545882895276,249319.852108301,263268.20879191766
Buildingstratification4(%),-0.12235240176382445,8745.107477465313,7791.766172302037
Buildingstratification4(%),-0.054751041085949526,11722.956233181176,11114.429639350217
Buildingstratification5(%),0.02875915346218738,255696.8379735557,263268.20879191766
Buildingstratification5(%),0.11400346209729573,6903.477852807011,7791.766172302037
Buildingstratification5(%),0.013493886792684817,10964.452784031564,11114.429639350217
Buildingstratification6(%),0.006274618072187432,261616.30133119947,263268.20879191766
Buildingstratification6(%),0.060820650755885164,7317.865883164935,7791.766172302037
Buildingstratification6(%),0.00401486389387351,11069.806717090192,11114.429639350217
NumberofhospitalsperKm2,-0.0034868596791957085,264186.18809396826,263268.20879191766
NumberofhospitalsperKm2,0.031255619424846115,7548.229694173175,7791.766172302037
NumberofhospitalsperKm2,-0.009229180156252292,11217.00671282577,11114.429639350217
NumberofhousesperKm2,-185.8087143757631,49180795.62042811,263268.20879191766
NumberofhousesperKm2,-6624.168337269491,51621762.53614295,7791.766172302037
NumberofhousesperKm2,-4646.2196106896145,51651195.381618224,11114.429639350217
2016_temp,-1.879749072243306,758146.3800196818,263268.20879191766
2016_temp,-71.4763855291793,564719.0490569802,7791.766172302037
2016_temp,-48.281685709034996,547737.8283216406,11114.429639350217
2017_temp,-1.7826265581581269,732577.1097031089,263268.20879191766
2017_temp,-67.97801289512809,537460.5475088728,7791.766172302037
2017_temp,-45.86718875827842,520902.0718480309,11114.429639350217
2018_temp,-1.7686383514193023,728894.4595707676,263268.20879191766
2018_temp,-67.48905295447814,533650.6859837057,7791.766172302037
2018_temp,-45.53514422727327,517211.5862710432,11114.429639350217
2016_precip,-99.14902866675342,26366055.38934659,263268.20879191766
2016_precip,-3402.0661305202007,26515895.55789409,7791.766172302037
2016_precip,-2376.0729222866767,26419809.742359873,11114.429639350217
2017_precip,-120.20708818576148,31909972.99954943,263268.20879191766
2017_precip,-4119.757368364585,32107977.867087543,7791.766172302037
2017_precip,-2878.6089369872884,32005210.91898929,11114.429639350217
2018_precip,-139.47427917731247,36982411.86034683,263268.20879191766
2018_precip,-4775.923206348512,37220668.64691092,7791.766172302037
2018_precip,-3338.082885561002,37112001.79152625,11114.429639350217
