Municipality code,Municipality,Population2016,Population2017,Population2018,Cases2016,Cases2017,Cases2018,Age0-4(%),Age5-14(%),Age15-29(%),Age>30(%),AfrocolombianPopulation(%),IndianPopulation(%),PeoplewithDisabilities(%),Peoplewhocannotreadorwrite(%),Secondary/HigherEducation(%),Employedpopulation(%),Unemployedpopulation(%),Peopledoinghousework(%),Retiredpeople(%),Men(%),Women(%),Householdswithoutwateraccess(%),Householdswithoutinternetaccess(%),Buildingstratification1(%),Buildingstratification2(%),Buildingstratification3(%),Buildingstratification4(%),Buildingstratification5(%),Buildingstratification6(%),NumberofhospitalsperKm2,NumberofhousesperKm2,Código Municipio,Longitud,Latitud,2016_dengue,2017_dengue,2018_dengue,2016_temp,2017_temp,2018_temp,2016_precip,2017_precip,2018_precip,strata
5001,Medellín,2420516,2414616,2427129,17306,2100,1172,5.16,11.96,26.71,56.16,2.51,0.09,6.27,3.17,67.43,43.23,5.64,13.91,5.47,47.01,52.99,1.44,29.47,12.1117,31.2817,26.0471,9.0279,6.4855,3.7062,1.5552629999999998,2102.057895,5001,-75.5882890339,6.249349223067857,332.8076923076923,39.924528301886795,22.666666666666668,21.94391051928203,21.350182096163433,21.257987141609195,170.8604119618735,192.81590906778976,215.53116162618008,3
5002,Abejorral,19979,20047,20367,5,1,2,5.24,14.92,22.29,57.55,0.35,0.01,16.05,9.89,33.65,39.6,0.89,26.37,1.43,51.93,48.07,21.87,56.27,31.352,33.8306,2.0439,0.0352,0.0117,0.0,0.002012,11.945674,5002,-75.46613304235,5.76641468362,0.09615384615384616,0.018867924528301886,0.0392156862745098,17.42744509379069,16.812015652656537,16.76592179139454,170.3625370661419,189.62665367126473,213.9865916570028,3
5004,Abriaquí,2539,2593,2695,2,0,1,6.07,14.08,23.76,56.09,1.99,0.0,16.72,6.72,45.72,36.78,1.85,24.5,1.16,54.24,45.76,24.03,62.35,21.5705,39.1675,4.3519,0.0946,0.1892,0.1892,0.0,2.548276,5004,-76.07685123275,6.653536150845,0.038461538461538464,0.0,0.0196078431372549,17.989909013112385,17.394740978876747,17.33956881364187,154.81913057963047,182.6111195882161,194.35935274759933,2
5021,Alejandría,4543,4570,4657,5,0,0,6.59,15.73,21.91,55.77,0.31,0.0,8.1,8.75,38.79,37.07,1.25,25.89,0.86,49.8,50.2,17.06,54.61,17.9879,38.5721,4.8215,0.1854,0.0464,0.0464,0.006623,9.092715,5021,-75.141334501,6.37606264274,0.09615384615384616,0.0,0.0,21.773093620936066,21.14550399780274,21.05367803573608,182.09369532267246,203.08591461181626,231.36044915517172,3
5030,Amagá,29006,29429,30227,196,17,3,5.42,13.36,25.71,55.5,0.48,0.03,9.02,7.68,51.67,39.21,3.36,21.48,3.56,49.37,50.63,3.31,56.12,27.8784,42.028,3.4086,0.1889,0.146,0.0172,0.011765,102.752941,5030,-75.70082083981112,6.0515859499677775,3.769230769230769,0.32075471698113206,0.058823529411764705,21.68344473838805,21.088197191556286,21.0197076400121,161.46295611063633,182.512326558431,202.97711372375485,2
5031,Amalfi,24794,25205,25962,4,2,3,6.5,17.97,26.95,48.58,0.5,0.01,8.09,10.2,40.78,38.31,2.74,22.5,0.64,50.22,49.78,31.18,59.46,28.0338,23.4831,15.748,0.1853,0.0463,0.0579,0.000817,5.373366000000001,5031,-75.00242091295,6.855395622890001,0.07692307692307693,0.03773584905660377,0.058823529411764705,22.661413033803303,22.071663816769913,21.947379748026545,197.8246269226075,228.3909098307291,254.58414618174228,3
5034,Andes,42564,42614,43269,188,6,2,5.79,14.73,25.3,54.18,0.6,0.65,10.77,10.08,41.52,38.89,1.98,22.1,0.98,51.85,48.15,26.47,66.17,21.4644,53.3384,6.1003,0.2539,0.0343,0.0274,0.002227,26.946548,5034,-75.8931036585125,5.6554547664375,3.6153846153846154,0.11320754716981132,0.0392156862745098,17.843293944994628,17.238649884859726,17.20766039689381,169.22445805867508,194.0331172943116,211.47866884867358,3
5036,Angelópolis,5649,5669,5756,5,0,0,5.57,14.64,24.47,55.32,0.54,0.06,23.14,9.57,41.62,39.07,1.93,22.94,3.56,50.49,49.51,8.39,45.96,29.2683,37.3556,5.1348,0.0856,0.0,0.0,0.0114939999999999,19.735632,5036,-75.71833736525,6.1031503561625,0.09615384615384616,0.0,0.0,20.94764550526936,20.36239528656006,20.28389398256938,162.71624024709058,185.8136342366537,203.94304084777824,3
5038,Angostura,11210,11241,11437,1,0,0,6.67,17.38,26.59,49.36,0.5,0.0,16.7,12.69,34.75,34.38,2.53,28.0,0.44,50.73,49.27,19.29,68.53,42.085,25.3183,4.7802,0.048,0.048,0.024,0.002551,7.994897999999999,5038,-75.41128404630001,6.84908026192,0.019230769230769232,0.0,0.0,19.155517737070713,18.54631650447846,18.443922082583107,172.98165734608963,201.53021049499512,222.23462518056223,3
5040,Anorí,16180,17394,18321,3,4,3,7.71,20.7,28.59,43.0,1.68,1.15,10.78,10.87,35.8,35.21,2.63,22.15,0.21,51.74,48.26,33.61,62.39,32.0513,24.2369,5.3419,0.0305,0.0153,0.0,0.000691,3.1783,5040,-75.1483449609,7.07471004137,0.057692307692307696,0.07547169811320754,0.058823529411764705,23.346795399983723,22.75319759051003,22.628826618194584,205.7102890014647,238.32855733235684,259.29539426167804,3
