Column,2016_dengue_mean,2016_dengue_median,2016_dengue_mode,2016_dengue_variance,2016_dengue_std_dev,2016_dengue_skewness,2016_dengue_kurtosis,2016_dengue_correlation_coefficient,2016_dengue_q_statistic,2016_dengue_ssh,2017_dengue_mean,2017_dengue_median,2017_dengue_mode,2017_dengue_variance,2017_dengue_std_dev,2017_dengue_skewness,2017_dengue_kurtosis,2017_dengue_correlation_coefficient,2017_dengue_q_statistic,2017_dengue_ssh,2018_dengue_mean,2018_dengue_median,2018_dengue_mode,2018_dengue_variance,2018_dengue_std_dev,2018_dengue_skewness,2018_dengue_kurtosis,2018_dengue_correlation_coefficient,2018_dengue_q_statistic,2018_dengue_ssh
Population2016,41916.57960644007,12729.0,2354.0,62505587351.57244,250011.17445340805,23.435369244378776,646.1528152109714,0.41422965591002325,0.28363761386520026,0.0,41916.57960644007,12729.0,2354.0,62505587351.57244,250011.17445340805,23.435369244378776,646.1528152109714,0.41751349693012313,0.5700024267399356,0.0,41916.57960644007,12729.0,2354.0,62505587351.57244,250011.17445340805,23.435369244378776,646.1528152109714,0.3261447351336714,1.3345072034236631,0.0
Population2017,42370.17889087657,12675.0,3569.0,63196106396.31532,251388.3577183226,23.430558141920883,646.6929532324353,0.4118775539535133,0.29130757491025977,0.0,42370.17889087657,12675.0,3569.0,63196106396.31532,251388.3577183226,23.430558141920883,646.6929532324353,0.415586654096848,0.5817353090262408,0.0,42370.17889087657,12675.0,3569.0,63196106396.31532,251388.3577183226,23.430558141920883,646.6929532324353,0.32654871965349447,1.32031383957532,0.0
Population2018,43130.33005366726,12807.0,11159.0,64653963146.36456,254271.43596236792,23.372540324080465,644.6852489629316,0.4105910321672944,0.29865179030807654,0.0,43130.33005366726,12807.0,11159.0,64653963146.36456,254271.43596236792,23.372540324080465,644.6852489629316,0.41507053491537904,0.5935341837491179,0.0,43130.33005366726,12807.0,11159.0,64653963146.36456,254271.43596236792,23.372540324080465,644.6852489629316,0.32877974857697173,1.3034066890468605,0.0
Cases2016,89.42128801431127,8.0,0.0,637311.7605849109,798.3180823361769,21.822777016673058,501.0036565975364,0.9999999999999998,0.6434651381993195,0.0,89.42128801431127,8.0,0.0,637311.7605849109,798.3180823361769,21.822777016673058,501.0036565975364,0.935452097694332,0.7107814612987396,0.0,89.42128801431127,8.0,0.0,637311.7605849109,798.3180823361769,21.822777016673058,501.0036565975364,0.4495629202976924,2.1642896456878793,0.0
Cases2017,22.40429338103757,2.0,0.0,19032.133625238832,137.95699918901843,20.59018083568506,504.2005499970808,0.9376793528718768,0.33232998692306903,0.0,22.40429338103757,2.0,0.0,19032.133625238832,137.95699918901843,20.59018083568506,504.2005499970808,0.9999385127182778,0.25332058284081416,0.0,22.40429338103757,2.0,0.0,19032.133625238832,137.95699918901843,20.59018083568506,504.2005499970808,0.6078883933973358,2.8021838556083654,0.0
Cases2018,38.909660107334524,2.0,0.0,26491.43766846091,162.76190484404177,9.911349242566471,123.99144534580353,0.4540911258739424,1.1882821944245876,0.0,38.909660107334524,2.0,0.0,26491.43766846091,162.76190484404177,9.911349242566471,123.99144534580353,0.6179012176970033,3.5198806257972355,0.0,38.909660107334524,2.0,0.0,26491.43766846091,162.76190484404177,9.911349242566471,123.99144534580353,0.9999444967939297,1.5684446773638627,0.0
Age0-4(%),7.312093023255814,6.965,5.84,3.9139051945618455,1.9783592177766518,1.3077830283414114,4.31090563656713,-0.06811732734009532,1.2714802538555048,0.0,7.312093023255814,6.965,5.84,3.9139051945618455,1.9783592177766518,1.3077830283414114,4.31090563656713,-0.048500878479362027,2.8408855664380033,0.0,7.312093023255814,6.965,5.84,3.9139051945618455,1.9783592177766518,1.3077830283414114,4.31090563656713,0.030519173993347002,2.318637779655451,0.0
Age5-14(%),17.845679785330947,17.015,16.48,17.2995495374782,4.159272717372377,1.7892297666248027,6.554539023440737,-0.09484706536722425,1.2732439143816405,0.0,17.845679785330947,17.015,16.48,17.2995495374782,4.159272717372377,1.7892297666248027,6.554539023440737,-0.08682657857206544,2.834053896513349,0.0,17.845679785330947,17.015,16.48,17.2995495374782,4.159272717372377,1.7892297666248027,6.554539023440737,-0.027074009978643183,2.28867015277257,0.0
Age15-29(%),24.61222719141324,24.92,25.0,8.663552689609114,2.943391358553788,0.05088123516129553,3.0794729136372645,0.02749635766510263,1.2762461046560207,0.0,24.61222719141324,24.92,25.0,8.663552689609114,2.943391358553788,0.05088123516129553,3.0794729136372645,0.055459144538488096,2.891685105778841,0.0,24.61222719141324,24.92,25.0,8.663552689609114,2.943391358553788,0.05088123516129553,3.0794729136372645,0.12572560545917622,2.3276894303237055,0.0
Age>30(%),50.2301252236136,51.045,48.13,59.9163926432128,7.740567979367715,-0.5873475865375821,0.3832979917658319,0.057899094966238226,1.2676599914778675,0.0,50.2301252236136,51.045,48.13,59.9163926432128,7.740567979367715,-0.5873475865375821,0.3832979917658319,0.03794850407458152,2.8379803114301083,0.0,50.2301252236136,51.045,48.13,59.9163926432128,7.740567979367715,-0.5873475865375821,0.3832979917658319,-0.041063447012096514,2.326756344771067,0.0
AfrocolombianPopulation(%),7.0649373881932025,0.41,0.0,373.8321109629518,19.33473845085451,3.351344638293957,10.457079897902776,-0.006405843438416816,1.273674877207182,0.0,7.0649373881932025,0.41,0.0,373.8321109629518,19.33473845085451,3.351344638293957,10.457079897902776,-0.00686434850304216,2.855267975754496,0.0,7.0649373881932025,0.41,0.0,373.8321109629518,19.33473845085451,3.351344638293957,10.457079897902776,-0.01975457874914817,2.2928923400102303,0.0
IndianPopulation(%),7.287361359570662,0.14,0.0,357.3630568630356,18.904048689712887,3.3145660199184226,10.599063191587604,-0.03278371445428561,1.2713630301416277,0.0,7.287361359570662,0.14,0.0,357.3630568630356,18.904048689712887,3.3145660199184226,10.599063191587604,-0.041582705805933824,2.8498238895582078,0.0,7.287361359570662,0.14,0.0,357.3630568630356,18.904048689712887,3.3145660199184226,10.599063191587604,-0.04244712652177261,2.2886206975863437,0.0
PeoplewithDisabilities(%),9.905178890876565,8.68,6.16,31.53857521416457,5.615921581910182,1.1405217025368826,2.2730246600030926,-0.03735679968295754,1.2750416201936345,0.0,9.905178890876565,8.68,6.16,31.53857521416457,5.615921581910182,1.1405217025368826,2.2730246600030926,-0.06991124582576254,2.875806276092918,0.0,9.905178890876565,8.68,6.16,31.53857521416457,5.615921581910182,1.1405217025368826,2.2730246600030926,-0.14875473709188206,2.3390363532979124,0.0
Peoplewhocannotreadorwrite(%),8.908694096601073,8.46,6.4,14.654999904548825,3.8281849360432973,1.0288392691038726,2.5420495873905686,-0.1158792023726273,1.2613992301135655,0.0,8.908694096601073,8.46,6.4,14.654999904548825,3.8281849360432973,1.0288392691038726,2.5420495873905686,-0.13453538737277085,2.8190408594430783,0.0,8.908694096601073,8.46,6.4,14.654999904548825,3.8281849360432973,1.0288392691038726,2.5420495873905686,-0.1556229764641853,2.2211299248344916,0.0
